Tahun,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Rata-rata
2025,"-0,72","-1,07","2,19","1,91","-0,41","-0,16","0,59","-0,03","-0,26","0,17","0,06","0,45","0,23"
2024,"0,36","0,32","0,41","0,05","-0,06","-0,35","-0,15","-0,02","-0,12","0,2","0,18","0,37","0,10"
2023,"0,67","-0,25","0,75","0,2","0,03","0,22","0,08","-0,08","-0,09","0,4","0,16","0,77","0,24"
2022,"0,56","-0,06","0,49","1,27","0,13","0,29","1,25","-0,29","1,09","-0,11","0,31","0,74","0,47"
2021,"0,31","0,34","0,44","0,24","0,26","-0,31","0,07","-0,34","-0,14","0,07","0,38","0,92","0,19"
2020,"0,66","0,5","-0,11","0,48","0,55","0,01","-0,54","-0,09","0,05","-0,13","0,17","0,57","0,18"
2019,"0,54","-0,11","0,28","0,45","0,73","0,05","0,01","0,39","-0,12","0,1","0,04","0,04","0,20"
2018,"0,67","0,2","0,02","0,2","0,33","0,91","0,48","-0,1","-0,85","0,35","0,3","0,93","0,29"
2017,"1,14","0,79","-0,16","0,33","-0,32","0,84","1,05","-0,34","-0,08","-0,28","0,33","1,09","0,37"
2016,"1,36","-0,02","0,17","-0,39","-0,1","0,3","1,13","-0,45","0,41","0,02","0,43","0,29","0,26"
2015,"-0,06","-0,19","0,63","0,38","0,35","0,75","1,29","0,44","0,57","-0,03","0,26","0,7","0,42"
2014,"1,2","0,25","0,02","0,33","-0,28","0,25","1,11","0,5","0,39","0,43","1,36","2,69","0,69"
2013,"1,19","0,73","0,25","-0,1","-0,24","0,55","3,03","1,48","-0,1","-0,74","-0,76","0,84","0,51"
2012,"1,26","0,35","0,38","0,36","-0,58","0,64","0,6","1,17","-0,12","-0,1","-0,1","0,63","0,37"
2011,"1,42","-0,26","-0,35","-0,02","0,07","0,55","0,68","0,98","-0,7","-0,48","0,19","0,77","0,24"
2010,"1,3","0,1","-0,39","-0,49","0,65","0,46","2,11","1,53","0,4","-0,45","0,27","1,15","0,55"
2009,"0,06","0,68","0,1","-0,44","-0,36","-0,34","0,41","1,21","0,89","0,22","0,29","0,49","0,27"
2008,"2,29","1,07","1,03","0,05","0,79","3,39","1,27","0,69","1,5","-0,18","-0,13","0,46","1,02"
2007,"2,13","-0,05","0,2","-0,74","0,74","0,51","0,91","0,73","1,72","-0,27","-1,74","1,5","0,47"
2006,"1,09","1,74","-0,06","0,39","0,46","1,15","1,82","-0,23","-0,01","1,82","-0,88","-0,26","0,59"
2005,"1,94","-1,03","1,85","0,08","0,35","0,17","0,71","0,46","0,69","9,44","0,68","-0,72","1,22"
2004,"1,2","-0,17","-0,2","0,86","0,6","-0,07","0,35","0,33","-0,06","1,23","1,08","1,1","0,52"
2003,"1,39","-1,09","-0,82","0,6","0,28","0,5","0,12","-0,4","0,15","0,57","0,98","0,72","0,25"
2002,"0,75","1,49","-0,03","0,35","-0,05","-0,19","1,36","-0,11","0,43","0,69","2,17","1,11","0,66"
2001,"-0,69","1,49","0,8","0,1","1,39","0,47","3,1","-0,67","0,68","0,88","1,45","2,8","0,98"
2000,"1,81","-0,02","-0,18","1,5","0,84","0,54","1,22","-0,26","-0,6","0,31","1,59","2,62","0,78"
1999,"2,78","2,5","-0,5","-1,07","0,33","0,95","-1,41","-1,6","-0,81","-0,36","-0,66","1,59","0,15"
1998,"5,45","9,35","3,9","8,07","4,4","4,41","14,78","4,93","4,17","-0,05","0,74","1,44","5,13"
1997,"3,09","-1,56","-0,8","0,42","0,2","-0,74","0,38","0,03","0,76","2,06","3,39","0,97","0,68"
1996,"0,14","3,06","-0,2","0,84","-1,39","-0,44","0,57","-0,19","-0,56","-0,05","0,57","2,21","0,38"
1995,"1,60","2,00","0,35","2,93","-0,17","0,34","0,86","-0,27","0,13","-0,51","0,48","1,33","0,76"
